2025-03-25 15:29:41,097 | sd | INFO | setup_common | Terminal screen cleared successfully
2025-03-25 15:31:16,030 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 15:31:16,033 | sd | INFO | setup_common | Python version is 3.10.11 (tags/v3.10.11:7d4cc5a, Apr  5 2023, 00:38:17) [MSC v.1929 64 bit (AMD64)]
2025-03-25 15:31:38,328 | sd | INFO | setup_common | Submodule initialized and updated.
2025-03-25 15:31:38,337 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 15:31:40,927 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 15:31:40,998 | sd | INFO | setup_common | Obtaining file:///D:/Finetune/Finetune/sd-scripts (from -r requirements.txt (line 38))
2025-03-25 15:31:40,999 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 15:31:42,470 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 15:31:43,739 | sd | INFO | setup_common | Collecting torch==2.5.0+cu124
2025-03-25 15:31:56,638 | sd | INFO | setup_common | Using cached https://download.pytorch.org/whl/cu124/torch-2.5.0%2Bcu124-cp310-cp310-win_amd64.whl (2510.8 MB)
2025-03-25 15:32:03,079 | sd | INFO | setup_common | Collecting torchvision==0.20.0+cu124
2025-03-25 15:32:03,190 | sd | INFO | setup_common | Using cached https://download.pytorch.org/whl/cu124/torchvision-0.20.0%2Bcu124-cp310-cp310-win_amd64.whl (6.1 MB)
2025-03-25 15:32:03,872 | sd | INFO | setup_common | Collecting xformers==0.0.28.post2
2025-03-25 15:32:04,791 | sd | INFO | setup_common | Using cached https://download.pytorch.org/whl/cu124/xformers-0.0.28.post2-cp310-cp310-win_amd64.whl (168.8 MB)
2025-03-25 15:32:05,909 | sd | INFO | setup_common | Collecting bitsandbytes==0.44.0
2025-03-25 15:32:06,059 | sd | INFO | setup_common | Using cached bitsandbytes-0.44.0-py3-none-win_amd64.whl (121.5 MB)
2025-03-25 15:32:07,079 | sd | INFO | setup_common | Collecting tensorboard
2025-03-25 15:32:07,091 | sd | INFO | setup_common | Using cached tensorboard-2.19.0-py3-none-any.whl (5.5 MB)
2025-03-25 15:32:07,790 | sd | INFO | setup_common | Collecting tensorflow>=2.16.1
2025-03-25 15:32:08,228 | sd | INFO | setup_common | Using cached tensorflow-2.19.0-cp310-cp310-win_amd64.whl (375.7 MB)
2025-03-25 15:32:09,810 | sd | INFO | setup_common | Collecting onnxruntime-gpu==1.19.2
2025-03-25 15:32:10,105 | sd | INFO | setup_common | Using cached onnxruntime_gpu-1.19.2-cp310-cp310-win_amd64.whl (226.4 MB)
2025-03-25 15:32:11,350 | sd | INFO | setup_common | Collecting accelerate==0.33.0
2025-03-25 15:32:11,362 | sd | INFO | setup_common | Using cached accelerate-0.33.0-py3-none-any.whl (315 kB)
2025-03-25 15:32:11,980 | sd | INFO | setup_common | Collecting aiofiles==23.2.1
2025-03-25 15:32:11,985 | sd | INFO | setup_common | Using cached aiofiles-23.2.1-py3-none-any.whl (15 kB)
2025-03-25 15:32:12,596 | sd | INFO | setup_common | Collecting altair==4.2.2
2025-03-25 15:32:12,599 | sd | INFO | setup_common | Using cached altair-4.2.2-py3-none-any.whl (813 kB)
2025-03-25 15:32:13,229 | sd | INFO | setup_common | Collecting dadaptation==3.2
2025-03-25 15:32:13,230 | sd | INFO | setup_common | Using cached dadaptation-3.2-py3-none-any.whl
2025-03-25 15:32:13,930 | sd | INFO | setup_common | Collecting diffusers[torch]==0.25.0
2025-03-25 15:32:13,936 | sd | INFO | setup_common | Using cached diffusers-0.25.0-py3-none-any.whl (1.8 MB)
2025-03-25 15:32:14,553 | sd | INFO | setup_common | Collecting easygui==0.98.3
2025-03-25 15:32:14,558 | sd | INFO | setup_common | Using cached easygui-0.98.3-py2.py3-none-any.whl (92 kB)
2025-03-25 15:32:15,193 | sd | INFO | setup_common | Collecting einops==0.7.0
2025-03-25 15:32:15,195 | sd | INFO | setup_common | Using cached einops-0.7.0-py3-none-any.whl (44 kB)
2025-03-25 15:32:15,834 | sd | INFO | setup_common | Collecting fairscale==0.4.13
2025-03-25 15:32:15,836 | sd | INFO | setup_common | Using cached fairscale-0.4.13-py3-none-any.whl
2025-03-25 15:32:16,453 | sd | INFO | setup_common | Collecting ftfy==6.1.1
2025-03-25 15:32:16,548 | sd | INFO | setup_common | Using cached ftfy-6.1.1-py3-none-any.whl (53 kB)
2025-03-25 15:32:16,826 | sd | INFO | setup_common | Collecting gradio==5.4.0
2025-03-25 15:32:16,903 | sd | INFO | setup_common | Using cached gradio-5.4.0-py3-none-any.whl (56.7 MB)
2025-03-25 15:32:17,795 | sd | INFO | setup_common | Collecting huggingface-hub==0.25.2
2025-03-25 15:32:17,798 | sd | INFO | setup_common | Using cached huggingface_hub-0.25.2-py3-none-any.whl (436 kB)
2025-03-25 15:32:18,416 | sd | INFO | setup_common | Collecting imagesize==1.4.1
2025-03-25 15:32:18,423 | sd | INFO | setup_common | Using cached imagesize-1.4.1-py2.py3-none-any.whl (8.8 kB)
2025-03-25 15:32:19,197 | sd | INFO | setup_common | Collecting invisible-watermark==0.2.0
2025-03-25 15:32:19,203 | sd | INFO | setup_common | Using cached invisible_watermark-0.2.0-py3-none-any.whl (1.6 MB)
2025-03-25 15:32:19,841 | sd | INFO | setup_common | Collecting lion-pytorch==0.0.6
2025-03-25 15:32:19,843 | sd | INFO | setup_common | Using cached lion_pytorch-0.0.6-py3-none-any.whl (4.2 kB)
2025-03-25 15:32:20,477 | sd | INFO | setup_common | Collecting lycoris_lora==3.1.0
2025-03-25 15:32:20,479 | sd | INFO | setup_common | Using cached lycoris_lora-3.1.0.tar.gz (51 kB)
2025-03-25 15:32:20,611 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 15:32:22,023 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
