2025-03-25 13:49:07,744 | sd | INFO | setup_common | Terminal screen cleared successfully
2025-03-25 13:49:19,085 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 13:49:19,086 | sd | INFO | setup_common | Python version is 3.12.7 | packaged by Anaconda, Inc. | (main, Oct  4 2024, 13:17:27) [MSC v.1929 64 bit (AMD64)]
2025-03-25 13:49:20,636 | sd | INFO | setup_common | Submodule initialized and updated.
2025-03-25 13:49:20,637 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 13:49:21,528 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 13:49:21,531 | sd | INFO | setup_common | Obtaining file:///D:/Finetune/Finetune/sd-scripts (from -r requirements.txt (line 38))
2025-03-25 13:49:21,532 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 13:49:21,797 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 13:49:22,273 | sd | INFO | setup_common | Installing collected packages: library
2025-03-25 13:49:22,274 | sd | INFO | setup_common | Attempting uninstall: library
2025-03-25 13:49:22,277 | sd | INFO | setup_common | Found existing installation: library 0.0.0
2025-03-25 13:49:22,278 | sd | INFO | setup_common | Uninstalling library-0.0.0:
2025-03-25 13:49:22,806 | sd | INFO | setup_common | Successfully uninstalled library-0.0.0
2025-03-25 13:49:22,806 | sd | INFO | setup_common | Running setup.py develop for library
2025-03-25 13:49:23,249 | sd | INFO | setup_common | Successfully installed library-0.0.0
2025-03-25 13:49:27,751 | sd | ERROR | setup_common | Error occurred while running command: accelerate config default
2025-03-25 13:49:27,752 | sd | ERROR | setup_common | Error: Command 'accelerate config default' returned non-zero exit status 1.
