2025-03-25 14:25:39,619 | sd | INFO | setup_common | Terminal screen cleared successfully
2025-03-25 14:25:43,779 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 14:25:43,781 | sd | INFO | setup_common | Python version is 3.12.7 | packaged by Anaconda, Inc. | (main, Oct  4 2024, 13:17:27) [MSC v.1929 64 bit (AMD64)]
2025-03-25 14:25:45,096 | sd | INFO | setup_common | Submodule initialized and updated.
2025-03-25 14:25:45,099 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 14:25:45,924 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 14:25:45,925 | sd | INFO | setup_common | Obtaining file:///D:/Finetune/Finetune/sd-scripts (from -r requirements.txt (line 38))
2025-03-25 14:25:45,927 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 14:25:46,191 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 14:25:46,656 | sd | INFO | setup_common | Installing collected packages: library
2025-03-25 14:25:46,656 | sd | INFO | setup_common | Attempting uninstall: library
2025-03-25 14:25:46,661 | sd | INFO | setup_common | Found existing installation: library 0.0.0
2025-03-25 14:25:46,662 | sd | INFO | setup_common | Uninstalling library-0.0.0:
2025-03-25 14:25:47,184 | sd | INFO | setup_common | Successfully uninstalled library-0.0.0
2025-03-25 14:25:47,185 | sd | INFO | setup_common | Running setup.py develop for library
2025-03-25 14:25:47,588 | sd | INFO | setup_common | Successfully installed library-0.0.0
2025-03-25 14:25:51,780 | sd | ERROR | setup_common | Error occurred while running command: accelerate config default
2025-03-25 14:25:51,782 | sd | ERROR | setup_common | Error: Command 'accelerate config default' returned non-zero exit status 1.
