2025-03-25 14:18:36,568 | sd | INFO | setup_common | Terminal screen cleared successfully
2025-03-25 14:18:40,342 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 14:18:40,343 | sd | INFO | setup_common | Python version is 3.10.11 (tags/v3.10.11:7d4cc5a, Apr  5 2023, 00:38:17) [MSC v.1929 64 bit (AMD64)]
2025-03-25 14:18:41,598 | sd | INFO | setup_common | Submodule initialized and updated.
2025-03-25 14:18:41,600 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 14:18:42,437 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 14:18:42,438 | sd | INFO | setup_common | Obtaining file:///D:/Finetune/Finetune/sd-scripts (from -r requirements.txt (line 38))
2025-03-25 14:18:42,440 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 14:18:42,684 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 14:18:43,163 | sd | INFO | setup_common | Installing collected packages: library
2025-03-25 14:18:43,164 | sd | INFO | setup_common | Attempting uninstall: library
2025-03-25 14:18:43,168 | sd | INFO | setup_common | Found existing installation: library 0.0.0
2025-03-25 14:18:43,169 | sd | INFO | setup_common | Uninstalling library-0.0.0:
2025-03-25 14:18:43,675 | sd | INFO | setup_common | Successfully uninstalled library-0.0.0
2025-03-25 14:18:43,676 | sd | INFO | setup_common | Running setup.py develop for library
2025-03-25 14:18:44,093 | sd | INFO | setup_common | Successfully installed library-0.0.0
2025-03-25 14:18:48,367 | sd | ERROR | setup_common | Error occurred while running command: accelerate config default
2025-03-25 14:18:48,369 | sd | ERROR | setup_common | Error: Command 'accelerate config default' returned non-zero exit status 1.
