2025-03-25 10:40:38,911 | sd | INFO | setup_common | Terminal screen cleared successfully
2025-03-25 10:40:41,356 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 10:40:41,360 | sd | INFO | setup_common | Python version is 3.10.11 (tags/v3.10.11:7d4cc5a, Apr  5 2023, 00:38:17) [MSC v.1929 64 bit (AMD64)]
2025-03-25 10:40:41,596 | sd | INFO | setup_common | Submodule initialized and updated.
2025-03-25 10:40:41,598 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 10:40:41,819 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 10:40:41,823 | sd | INFO | setup_common | Obtaining file:///G:/Finetune/sd-scripts (from -r G:\Finetune\requirements.txt (line 38))
2025-03-25 10:40:41,825 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 10:40:42,024 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 10:40:42,516 | sd | INFO | setup_common | Installing collected packages: library
2025-03-25 10:40:42,518 | sd | INFO | setup_common | Attempting uninstall: library
2025-03-25 10:40:42,519 | sd | INFO | setup_common | Found existing installation: library 0.0.0
2025-03-25 10:40:42,520 | sd | INFO | setup_common | Uninstalling library-0.0.0:
2025-03-25 10:40:42,987 | sd | INFO | setup_common | Successfully uninstalled library-0.0.0
2025-03-25 10:40:42,990 | sd | INFO | setup_common | Running setup.py develop for library
2025-03-25 10:40:43,340 | sd | INFO | setup_common | Successfully installed library
2025-03-25 10:41:10,164 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 10:41:10,167 | sd | INFO | setup_common | Python version is 3.10.11 (tags/v3.10.11:7d4cc5a, Apr  5 2023, 00:38:17) [MSC v.1929 64 bit (AMD64)]
2025-03-25 10:41:10,371 | sd | INFO | setup_common | Submodule initialized and updated.
2025-03-25 10:41:10,373 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 10:41:10,601 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 10:41:10,603 | sd | INFO | setup_common | Obtaining file:///G:/Finetune/sd-scripts (from -r G:\Finetune\requirements.txt (line 38))
2025-03-25 10:41:10,605 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 10:41:10,809 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 10:41:11,310 | sd | INFO | setup_common | Installing collected packages: library
2025-03-25 10:41:11,314 | sd | INFO | setup_common | Attempting uninstall: library
2025-03-25 10:41:11,315 | sd | INFO | setup_common | Found existing installation: library 0.0.0
2025-03-25 10:41:11,316 | sd | INFO | setup_common | Uninstalling library-0.0.0:
2025-03-25 10:41:11,726 | sd | INFO | setup_common | Successfully uninstalled library-0.0.0
2025-03-25 10:41:11,729 | sd | INFO | setup_common | Running setup.py develop for library
2025-03-25 10:41:12,078 | sd | INFO | setup_common | Successfully installed library
