2025-03-25 13:53:01,200 | sd | INFO | setup_common | Terminal screen cleared successfully
2025-03-25 13:53:03,250 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 13:53:03,250 | sd | INFO | setup_common | Python version is 3.12.7 | packaged by Anaconda, Inc. | (main, Oct  4 2024, 13:17:27) [MSC v.1929 64 bit (AMD64)]
2025-03-25 13:53:04,668 | sd | INFO | setup_common | Submodule initialized and updated.
2025-03-25 13:53:04,671 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 13:53:05,573 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 13:53:05,574 | sd | INFO | setup_common | Obtaining file:///D:/Finetune/Finetune/sd-scripts (from -r requirements.txt (line 38))
2025-03-25 13:53:05,576 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 13:53:05,843 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 13:53:06,331 | sd | INFO | setup_common | Installing collected packages: library
2025-03-25 13:53:06,332 | sd | INFO | setup_common | Attempting uninstall: library
2025-03-25 13:53:06,335 | sd | INFO | setup_common | Found existing installation: library 0.0.0
2025-03-25 13:53:06,336 | sd | INFO | setup_common | Uninstalling library-0.0.0:
2025-03-25 13:53:06,863 | sd | INFO | setup_common | Successfully uninstalled library-0.0.0
2025-03-25 13:53:06,864 | sd | INFO | setup_common | Running setup.py develop for library
2025-03-25 13:53:07,300 | sd | INFO | setup_common | Successfully installed library-0.0.0
2025-03-25 13:53:12,206 | sd | ERROR | setup_common | Error occurred while running command: accelerate config default
2025-03-25 13:53:12,210 | sd | ERROR | setup_common | Error: Command 'accelerate config default' returned non-zero exit status 1.
