2025-03-25 10:18:38,762 | sd | INFO | setup_common | Terminal screen cleared successfully
2025-03-25 10:18:42,605 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 10:18:42,608 | sd | INFO | setup_common | Python version is 3.10.11 (tags/v3.10.11:7d4cc5a, Apr  5 2023, 00:38:17) [MSC v.1929 64 bit (AMD64)]
2025-03-25 10:18:42,805 | sd | INFO | setup_common | Submodule initialized and updated.
2025-03-25 10:18:42,807 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 10:18:43,042 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 10:18:43,176 | sd | INFO | setup_common | Obtaining file:///G:/Finetune/sd-scripts (from -r requirements.txt (line 38))
2025-03-25 10:18:43,179 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 10:18:43,249 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 10:18:44,719 | sd | INFO | setup_common | Collecting altair==4.2.2
2025-03-25 10:18:44,722 | sd | INFO | setup_common | Using cached altair-4.2.2-py3-none-any.whl (813 kB)
2025-03-25 10:18:45,444 | sd | INFO | setup_common | Collecting gradio==5.4.0
2025-03-25 10:18:45,489 | sd | INFO | setup_common | Using cached gradio-5.4.0-py3-none-any.whl (56.7 MB)
2025-03-25 10:18:46,224 | sd | INFO | setup_common | Collecting open-clip-torch==2.20.0
2025-03-25 10:18:46,226 | sd | INFO | setup_common | Using cached open_clip_torch-2.20.0-py3-none-any.whl (1.5 MB)
2025-03-25 10:18:46,871 | sd | INFO | setup_common | Collecting pytorch-lightning==1.9.0
2025-03-25 10:18:46,873 | sd | INFO | setup_common | Using cached pytorch_lightning-1.9.0-py3-none-any.whl (825 kB)
2025-03-25 10:18:47,505 | sd | INFO | setup_common | Collecting timm==0.6.12
2025-03-25 10:18:47,507 | sd | INFO | setup_common | Using cached timm-0.6.12-py3-none-any.whl (549 kB)
2025-03-25 10:18:48,753 | sd | INFO | setup_common | Installing collected packages: library, timm, gradio, altair, pytorch-lightning, open-clip-torch
2025-03-25 10:18:48,754 | sd | INFO | setup_common | Attempting uninstall: library
2025-03-25 10:18:48,756 | sd | INFO | setup_common | Found existing installation: library 0.0.0
2025-03-25 10:18:48,757 | sd | INFO | setup_common | Uninstalling library-0.0.0:
2025-03-25 10:18:49,190 | sd | INFO | setup_common | Successfully uninstalled library-0.0.0
2025-03-25 10:18:49,192 | sd | INFO | setup_common | Running setup.py develop for library
2025-03-25 10:18:55,505 | sd | INFO | setup_common | Successfully installed altair-4.2.2 gradio-5.4.0 library-0.0.0 open-clip-torch-2.20.0 pytorch-lightning-1.9.0 timm-0.6.12
2025-03-25 10:19:02,939 | sd | INFO | setup_windows | Installing nvidia-cudnn-cu11 8.9.5.29...
2025-03-25 10:19:02,941 | sd | INFO | setup_common | Installing package: nvidia-cudnn-cu11==8.9.5.29
2025-03-25 10:22:09,649 | sd | INFO | setup_windows | Copying CUDNN files from G:\Finetune\venv\Lib\site-packages\nvidia\cudnn\bin to G:\Finetune\venv\Lib\site-packages\torch\lib...
2025-03-25 10:22:09,935 | sd | INFO | setup_windows | Copied CUDNN .dll files to destination
