2025-03-25 14:33:43,105 | sd | INFO | setup_common | Terminal screen cleared successfully
2025-03-25 14:33:56,188 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 14:33:56,190 | sd | INFO | setup_common | Python version is 3.10.11 (tags/v3.10.11:7d4cc5a, Apr  5 2023, 00:38:17) [MSC v.1929 64 bit (AMD64)]
2025-03-25 14:33:57,728 | sd | INFO | setup_common | Submodule initialized and updated.
2025-03-25 14:33:57,730 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 14:33:58,188 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 14:33:58,189 | sd | INFO | setup_common | Obtaining file:///D:/Finetune/Finetune/sd-scripts (from -r requirements.txt (line 38))
2025-03-25 14:33:58,192 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 14:33:58,457 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 14:33:59,487 | sd | INFO | setup_common | Collecting torch==2.5.0+cu124
2025-03-25 14:33:59,556 | sd | INFO | setup_common | Downloading https://download.pytorch.org/whl/cu124/torch-2.5.0%2Bcu124-cp310-cp310-win_amd64.whl (2510.8 MB)
2025-03-25 14:41:53,721 | sd | INFO | setup_common | ---------------------------------------- 2.5/2.5 GB 992.8 kB/s eta 0:00:00
2025-03-25 14:41:57,019 | sd | INFO | setup_common | Collecting torchvision==0.20.0+cu124
2025-03-25 14:41:57,100 | sd | INFO | setup_common | Downloading https://download.pytorch.org/whl/cu124/torchvision-0.20.0%2Bcu124-cp310-cp310-win_amd64.whl (6.1 MB)
2025-03-25 14:41:58,478 | sd | INFO | setup_common | ---------------------------------------- 6.1/6.1 MB 4.5 MB/s eta 0:00:00
2025-03-25 14:41:59,225 | sd | INFO | setup_common | Collecting xformers==0.0.28.post2
2025-03-25 14:41:59,303 | sd | INFO | setup_common | Downloading https://download.pytorch.org/whl/cu124/xformers-0.0.28.post2-cp310-cp310-win_amd64.whl (168.8 MB)
2025-03-25 14:42:34,647 | sd | INFO | setup_common | -------------------------------------- 168.8/168.8 MB 3.6 MB/s eta 0:00:00
2025-03-25 14:42:35,627 | sd | INFO | setup_common | Collecting bitsandbytes==0.44.0
2025-03-25 14:42:35,950 | sd | INFO | setup_common | Downloading bitsandbytes-0.44.0-py3-none-win_amd64.whl (121.5 MB)
2025-03-25 14:43:02,045 | sd | INFO | setup_common | -------------------------------------- 121.5/121.5 MB 4.3 MB/s eta 0:00:00
2025-03-25 14:43:02,931 | sd | INFO | setup_common | Collecting tensorboard
2025-03-25 14:43:03,022 | sd | INFO | setup_common | Downloading tensorboard-2.19.0-py3-none-any.whl (5.5 MB)
2025-03-25 14:43:04,212 | sd | INFO | setup_common | ---------------------------------------- 5.5/5.5 MB 4.6 MB/s eta 0:00:00
2025-03-25 14:43:04,981 | sd | INFO | setup_common | Collecting tensorflow>=2.16.1
2025-03-25 14:43:05,070 | sd | INFO | setup_common | Downloading tensorflow-2.19.0-cp310-cp310-win_amd64.whl (375.7 MB)
2025-03-25 14:44:18,009 | sd | INFO | setup_common | -------------------------------------- 375.7/375.7 MB 3.4 MB/s eta 0:00:00
2025-03-25 14:44:19,143 | sd | INFO | setup_common | Collecting onnxruntime-gpu==1.19.2
2025-03-25 14:44:19,212 | sd | INFO | setup_common | Downloading onnxruntime_gpu-1.19.2-cp310-cp310-win_amd64.whl (226.4 MB)
2025-03-25 14:45:06,455 | sd | INFO | setup_common | -------------------------------------- 226.4/226.4 MB 3.9 MB/s eta 0:00:00
2025-03-25 14:45:07,487 | sd | INFO | setup_common | Collecting accelerate==0.33.0
2025-03-25 14:45:07,558 | sd | INFO | setup_common | Downloading accelerate-0.33.0-py3-none-any.whl (315 kB)
2025-03-25 14:45:07,629 | sd | INFO | setup_common | -------------------------------------- 315.1/315.1 kB 4.8 MB/s eta 0:00:00
2025-03-25 14:45:07,950 | sd | INFO | setup_common | Collecting aiofiles==23.2.1
2025-03-25 14:45:08,026 | sd | INFO | setup_common | Downloading aiofiles-23.2.1-py3-none-any.whl (15 kB)
2025-03-25 14:45:08,359 | sd | INFO | setup_common | Collecting altair==4.2.2
2025-03-25 14:45:08,435 | sd | INFO | setup_common | Downloading altair-4.2.2-py3-none-any.whl (813 kB)
2025-03-25 14:45:08,597 | sd | INFO | setup_common | -------------------------------------- 813.6/813.6 kB 5.1 MB/s eta 0:00:00
2025-03-25 14:45:09,231 | sd | INFO | setup_common | Collecting dadaptation==3.2
2025-03-25 14:45:09,304 | sd | INFO | setup_common | Downloading dadaptation-3.2.tar.gz (13 kB)
2025-03-25 14:45:09,372 | sd | INFO | setup_common | Installing build dependencies: started
2025-03-25 14:45:16,571 | sd | INFO | setup_common | Installing build dependencies: finished with status 'done'
2025-03-25 14:45:16,574 | sd | INFO | setup_common | Getting requirements to build wheel: started
2025-03-25 14:45:16,817 | sd | INFO | setup_common | Getting requirements to build wheel: finished with status 'done'
2025-03-25 14:45:16,820 | sd | INFO | setup_common | Preparing metadata (pyproject.toml): started
2025-03-25 14:45:17,113 | sd | INFO | setup_common | Preparing metadata (pyproject.toml): finished with status 'done'
2025-03-25 14:45:17,744 | sd | INFO | setup_common | Collecting diffusers[torch]==0.25.0
2025-03-25 14:45:17,815 | sd | INFO | setup_common | Downloading diffusers-0.25.0-py3-none-any.whl (1.8 MB)
2025-03-25 14:45:18,347 | sd | INFO | setup_common | ---------------------------------------- 1.8/1.8 MB 3.5 MB/s eta 0:00:00
2025-03-25 14:45:18,677 | sd | INFO | setup_common | Collecting easygui==0.98.3
2025-03-25 14:45:18,752 | sd | INFO | setup_common | Downloading easygui-0.98.3-py2.py3-none-any.whl (92 kB)
2025-03-25 14:45:18,780 | sd | INFO | setup_common | ---------------------------------------- 92.7/92.7 kB 2.7 MB/s eta 0:00:00
2025-03-25 14:45:19,145 | sd | INFO | setup_common | Collecting einops==0.7.0
2025-03-25 14:45:19,236 | sd | INFO | setup_common | Downloading einops-0.7.0-py3-none-any.whl (44 kB)
2025-03-25 14:45:19,253 | sd | INFO | setup_common | ---------------------------------------- 44.6/44.6 kB 2.1 MB/s eta 0:00:00
2025-03-25 14:45:19,925 | sd | INFO | setup_common | Collecting fairscale==0.4.13
2025-03-25 14:45:20,008 | sd | INFO | setup_common | Downloading fairscale-0.4.13.tar.gz (266 kB)
2025-03-25 14:45:20,056 | sd | INFO | setup_common | -------------------------------------- 266.3/266.3 kB 5.6 MB/s eta 0:00:00
2025-03-25 14:45:20,541 | sd | INFO | setup_common | Installing build dependencies: started
2025-03-25 14:45:26,071 | sd | INFO | setup_common | Installing build dependencies: finished with status 'done'
2025-03-25 14:45:26,076 | sd | INFO | setup_common | Getting requirements to build wheel: started
2025-03-25 14:45:26,286 | sd | INFO | setup_common | Getting requirements to build wheel: finished with status 'done'
2025-03-25 14:45:26,290 | sd | INFO | setup_common | Installing backend dependencies: started
2025-03-25 14:45:28,443 | sd | INFO | setup_common | Installing backend dependencies: finished with status 'done'
2025-03-25 14:45:28,446 | sd | INFO | setup_common | Preparing metadata (pyproject.toml): started
2025-03-25 14:45:28,740 | sd | INFO | setup_common | Preparing metadata (pyproject.toml): finished with status 'done'
2025-03-25 14:45:29,074 | sd | INFO | setup_common | Collecting ftfy==6.1.1
2025-03-25 14:45:29,153 | sd | INFO | setup_common | Downloading ftfy-6.1.1-py3-none-any.whl (53 kB)
2025-03-25 14:45:29,166 | sd | INFO | setup_common | ---------------------------------------- 53.1/53.1 kB 2.7 MB/s eta 0:00:00
2025-03-25 14:45:29,890 | sd | INFO | setup_common | Collecting gradio==5.4.0
