2025-03-25 10:06:00,622 | sd | INFO | setup_common | Terminal screen cleared successfully
2025-03-25 10:06:04,211 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 10:06:04,215 | sd | INFO | setup_common | Python version is 3.10.11 (tags/v3.10.11:7d4cc5a, Apr  5 2023, 00:38:17) [MSC v.1929 64 bit (AMD64)]
2025-03-25 10:06:04,375 | sd | ERROR | setup_common | Error during Git operation: Command '['git', 'submodule', 'update', '--init', '--recursive', '--quiet']' returned non-zero exit status 128.
2025-03-25 10:06:04,379 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 10:06:04,582 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 10:06:04,585 | sd | INFO | setup_common | Obtaining file:///G:/Finetune/sd-scripts (from -r requirements.txt (line 38))
2025-03-25 10:06:04,587 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 10:06:04,728 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 10:06:06,139 | sd | INFO | setup_common | Collecting torch==2.5.0+cu124
2025-03-25 10:06:06,224 | sd | INFO | setup_common | Downloading https://download.pytorch.org/whl/cu124/torch-2.5.0%2Bcu124-cp310-cp310-win_amd64.whl (2510.8 MB)
2025-03-25 10:12:32,828 | sd | INFO | setup_common | ---------------------------------------- 2.5/2.5 GB 2.3 MB/s eta 0:00:00
2025-03-25 10:12:35,348 | sd | INFO | setup_common | Collecting torchvision==0.20.0+cu124
2025-03-25 10:12:35,435 | sd | INFO | setup_common | Downloading https://download.pytorch.org/whl/cu124/torchvision-0.20.0%2Bcu124-cp310-cp310-win_amd64.whl (6.1 MB)
2025-03-25 10:12:35,566 | sd | INFO | setup_common | ---------------------------------------- 6.1/6.1 MB 49.1 MB/s eta 0:00:00
2025-03-25 10:12:35,938 | sd | INFO | setup_common | Collecting xformers==0.0.28.post2
2025-03-25 10:12:36,028 | sd | INFO | setup_common | Downloading https://download.pytorch.org/whl/cu124/xformers-0.0.28.post2-cp310-cp310-win_amd64.whl (168.8 MB)
2025-03-25 10:13:01,433 | sd | INFO | setup_common | -------------------------------------- 168.8/168.8 MB 5.8 MB/s eta 0:00:00
2025-03-25 10:13:02,186 | sd | INFO | setup_common | Collecting bitsandbytes==0.44.0
2025-03-25 10:13:02,320 | sd | INFO | setup_common | Using cached bitsandbytes-0.44.0-py3-none-win_amd64.whl (121.5 MB)
2025-03-25 10:13:03,137 | sd | INFO | setup_common | Collecting tensorboard
2025-03-25 10:13:03,155 | sd | INFO | setup_common | Using cached tensorboard-2.19.0-py3-none-any.whl (5.5 MB)
2025-03-25 10:13:03,853 | sd | INFO | setup_common | Collecting tensorflow>=2.16.1
2025-03-25 10:13:04,391 | sd | INFO | setup_common | Downloading tensorflow-2.19.0-cp310-cp310-win_amd64.whl (375.7 MB)
2025-03-25 10:14:01,366 | sd | INFO | setup_common | -------------------------------------- 375.7/375.7 MB 5.1 MB/s eta 0:00:00
