2025-03-25 13:58:13,668 | sd | INFO | setup_common | Terminal screen cleared successfully
2025-03-25 13:58:16,459 | sd | INFO | setup_common | Kohya_ss GUI version: v24.2.0

2025-03-25 13:58:16,461 | sd | INFO | setup_common | Python version is 3.12.7 | packaged by Anaconda, Inc. | (main, Oct  4 2024, 13:17:27) [MSC v.1929 64 bit (AMD64)]
2025-03-25 13:58:17,869 | sd | INFO | setup_common | Submodule initialized and updated.
2025-03-25 13:58:17,875 | sd | INFO | setup_common | Installing/Validating requirements from requirements_pytorch_windows.txt...
2025-03-25 13:58:18,784 | sd | INFO | setup_common | Looking in indexes: https://pypi.org/simple, https://download.pytorch.org/whl/cu124
2025-03-25 13:58:18,785 | sd | INFO | setup_common | Obtaining file:///D:/Finetune/Finetune/sd-scripts (from -r requirements.txt (line 38))
2025-03-25 13:58:18,787 | sd | INFO | setup_common | Preparing metadata (setup.py): started
2025-03-25 13:58:19,049 | sd | INFO | setup_common | Preparing metadata (setup.py): finished with status 'done'
2025-03-25 13:58:19,527 | sd | INFO | setup_common | Installing collected packages: library
2025-03-25 13:58:19,527 | sd | INFO | setup_common | Attempting uninstall: library
2025-03-25 13:58:19,531 | sd | INFO | setup_common | Found existing installation: library 0.0.0
2025-03-25 13:58:19,533 | sd | INFO | setup_common | Uninstalling library-0.0.0:
2025-03-25 13:58:20,056 | sd | INFO | setup_common | Successfully uninstalled library-0.0.0
2025-03-25 13:58:20,057 | sd | INFO | setup_common | Running setup.py develop for library
2025-03-25 13:58:20,491 | sd | INFO | setup_common | Successfully installed library-0.0.0
2025-03-25 13:58:25,379 | sd | ERROR | setup_common | Error occurred while running command: accelerate config default
2025-03-25 13:58:25,381 | sd | ERROR | setup_common | Error: Command 'accelerate config default' returned non-zero exit status 1.
